date,region,total_accounts,total_in_credit_org,clients-legal entities that are not credit institutions,individual clients,"The number of accounts opened by institutions of the banking system, per 1 resident, units."
01.01.2010,Алтайский край,"5 937,4","5 935,4","63,7","5 871,7","2,4"
01.01.2010,Амурская область,"2 774,8","2 774,2","29,7","2 744,5","3,2"
01.01.2010,Архангельская область,"3 864,2","3 863,4","45,1","3 818,3","3,1"
01.01.2010,Астраханская область,"2 688,1","2 687,6","32,3","2 655,3","2,7"
01.01.2010,Белгородская область,"4 444,1","4 443,4",50,"4 393,4","2,9"
01.01.2010,Брянская область,"3 705,8","3 705,1","32,1","3 672,9","2,9"
01.01.2010,Владимирская область,"4 719,4","4 718,7","49,7","4 669,0","3,3"
01.01.2010,Волгоградская область,"6 787,2","6 785,7","78,5","6 707,2","2,6"
01.01.2010,Вологодская область,"3 605,1","3 604,4","53,5","3 550,9",3
01.01.2010,Воронежская область,"7 861,7","7 860,7","89,1","7 771,6","3,5"
01.01.2010,Еврейская автономная область,377,"376,9","4,9","371,9",2
01.01.2010,Забайкальский край,"2 621,0","2 620,0","22,3","2 597,7","2,3"
01.01.2010,Ивановская область,"2 764,5","2 763,9","38,7","2 725,2","2,6"
01.01.2010,Иркутская область,"7 891,6","7 890,6","75,9","7 814,7","3,1"
01.01.2010,Кабардино-Балкарская Республика,"1 575,4","1 575,1","16,8","1 558,3","1,8"
01.01.2010,Калининградская область,"1 712,3","1 712,2","71,8","1 640,3","1,8"
01.01.2010,Калужская область,"2 656,0","2 655,5",39,"2 616,5","2,6"
01.01.2010,Камчатский край,"1 164,8","1 164,5","20,7","1 143,9","3,4"
01.01.2010,Карачаево-Черкесская Республика,"823,6","823,4","9,6","813,8","1,9"
01.01.2010,Кемеровская область,"8 837,9","8 837,0",70,"8 767,0","3,1"
01.01.2010,Кировская область,"3 713,8","3 713,1","56,4","3 656,7","2,7"
01.01.2010,Костромская область,"1 866,9","1 866,1","28,3","1 837,7","2,7"
01.01.2010,Краснодарский край,"13 280,8","13 279,6","221,2","13 058,5","2,6"
01.01.2010,Красноярский край,"8 900,4","8 899,0","89,9","8 809,1","3,1"
01.01.2010,Курганская область,"2 224,1","2 223,4","20,1","2 203,3","2,3"
01.01.2010,Курская область,"3 946,7","3 945,7","35,3","3 910,4","3,4"
01.01.2010,Ленинградская область,"2 583,2","2 582,8","37,8","2 545,0","1,6"
01.01.2010,Липецкая область,"3 564,0","3 563,1","35,1","3 528,0","3,1"
01.01.2010,Магаданская область,"746,1","745,9","10,2","735,7","4,6"
01.01.2010,г. Москва и Московская область,"148 153,8","148 149,5","1 661,8","146 487,7","8,6"
01.01.2010,Мурманская область,"1 992,6","1 992,4","26,7","1 965,7","2,4"
01.01.2010,Нижегородская область,"11 152,1","11 150,9","148,5","11 002,5","3,3"
01.01.2010,Новгородская область,"1 205,4","1 205,0","21,7","1 183,4","1,9"
01.01.2010,Новосибирская область,"9 343,5","9 342,4",168,"9 174,4","3,5"
01.01.2010,Омская область,"4 852,5","4 851,6","65,5","4 786,1","2,4"
01.01.2010,Оренбургская область,"5 932,4","5 931,4","48,9","5 882,5","2,8"
01.01.2010,Орловская область,"2 269,1","2 268,5","23,3","2 245,2","2,8"
01.01.2010,Пензенская область,"3 582,4","3 581,7","42,9","3 538,8","2,6"
01.01.2010,Пермский край,"7 347,2","7 346,6","108,7","7 237,9","2,7"
01.01.2010,Приморский край,"5 676,7","5 676,1","84,9","5 591,1","2,9"
01.01.2010,Псковская область,"1 158,6","1 158,2","19,9","1 138,3","1,7"
01.01.2010,Республика Адыгея (Адыгея),"872,7","872,5","11,1","861,4",2
01.01.2010,Республика Алтай,"415,3","414,9",8,"406,9",2
01.01.2010,Республика Башкортостан,"12 654,1","12 653,0","113,5","12 539,5","3,1"
01.01.2010,Республика Бурятия,"2 695,3","2 694,6","31,6","2 663,0","2,8"
01.01.2010,Республика Дагестан,"1 699,4","1 697,2","40,7","1 656,5","0,6"
01.01.2010,Республика Ингушетия,"316,4","316,3","8,1","308,1","0,6"
01.01.2010,Республика Калмыкия,"668,7","668,4","11,5","656,8","2,4"
01.01.2010,Республика Карелия,"1 246,7","1 246,3","22,3","1 224,0","1,8"
01.01.2010,Республика Коми,"2 588,6","2 587,9","32,8","2 555,2","2,7"
01.01.2010,Республика Марий Эл,"1 603,8","1 603,2","17,1","1 586,1","2,3"
01.01.2010,Республика Мордовия,"2 649,9","2 649,0","20,1","2 629,0","3,2"
01.01.2010,Республика Саха (Якутия),"2 964,3","2 963,5","50,5","2 913,1","3,1"
01.01.2010,Республика Северная Осетия-Алания,"1 525,7","1 525,3","14,4","1 510,9","2,2"
01.01.2010,Республика Татарстан (Татарстан),"12 463,7","12 462,5","167,5","12 295,0","3,3"
01.01.2010,Республика Тыва,"541,6","541,3","6,5","534,8","1,7"
01.01.2010,Республика Хакасия,"1 468,1","1 467,8","19,8","1 447,9","2,7"
01.01.2010,Ростовская область,"11 725,5","11 723,7","164,7","11 559,0","2,8"
01.01.2010,Рязанская область,"3 238,6","3 237,8","43,9","3 193,9","2,8"
01.01.2010,Самарская область,"15 306,9","15 306,1","148,5","15 157,6","4,8"
01.01.2010,г. Санкт-Петербург,"17 975,7","17 975,4","410,7","17 564,7","3,9"
01.01.2010,Саратовская область,"6 941,6","6 940,7","73,2","6 867,5","2,7"
01.01.2010,Сахалинская область,"1 622,0","1 621,8","26,3","1 595,5","3,2"
01.01.2010,Свердловская область,"14 689,0","14 688,4","243,8","14 444,6","3,3"
01.01.2010,Смоленская область,"2 481,0","2 480,4",34,"2 446,4","2,5"
01.01.2010,Ставропольский край,"6 423,8","6 423,2","81,6","6 341,6","2,4"
01.01.2010,Тамбовская область,"2 769,0","2 768,2","21,4","2 746,8","2,5"
01.01.2010,Тверская область,"2 501,4","2 500,3","49,8","2 450,5","1,8"
01.01.2010,Томская область,"2 896,3","2 895,8","43,5","2 852,3","2,8"
01.01.2010,Тульская область,"4 470,4","4 469,7","50,8","4 418,9","2,9"
01.01.2010,Тюменская область,"14 029,5","14 027,7","156,2","13 871,5","4,1"
01.01.2010,Удмуртская Республика,"4 268,6","4 268,2","53,5","4 214,7","2,8"
01.01.2010,Ульяновская область,"3 625,3","3 624,8","32,3","3 592,4","2,8"
01.01.2010,Хабаровский край,"5 095,0","5 094,4","62,1","5 032,3","3,6"
01.01.2010,Челябинская область,"10 657,8","10 657,1","135,9","10 521,2",3
01.01.2010,Чеченская Республика,"219,8","219,8","9,5","210,3","0,2"
01.01.2010,Чувашская Республика - Чувашия,"3 257,6","3 257,0","37,6","3 219,4","2,5"
01.01.2010,Чукотский автономный округ,"243,8","243,6","1,6",242,"4,9"
01.01.2010,Ярославская область,"3 989,2","3 988,8","63,9","3 924,9",3
01.04.2010,Алтайский край,"6 047,1","6 045,1","63,5","5 981,5","2,4"
01.04.2010,Амурская область,"2 811,3","2 810,6",27,"2 783,7","3,3"
01.04.2010,Архангельская область,"3 897,6","3 896,8",46,"3 850,8","3,1"
01.04.2010,Астраханская область,"2 580,7","2 580,2","32,3","2 547,9","2,6"
01.04.2010,Белгородская область,"4 481,1","4 480,4","50,5","4 429,9","2,9"
01.04.2010,Брянская область,"3 696,0","3 695,2","30,9","3 664,3","2,9"
01.04.2010,Владимирская область,"4 783,2","4 782,4","50,7","4 731,8","3,3"
01.04.2010,Волгоградская область,"6 884,3","6 882,7","76,6","6 806,1","2,7"
01.04.2010,Вологодская область,"3 706,8","3 706,2","55,1","3 651,0","3,1"
