region,date,fertility_rate_city,fertility_rate_all,fertility_rate_village,fertility_rate_city_lag_20,fertility_rate_city_lag_15,fertility_rate_city_lag_10,fertility_rate_city_lag_5,fertility_rate_city_lag_3,fertility_rate_all_lag_20,fertility_rate_all_lag_15,fertility_rate_all_lag_10,fertility_rate_all_lag_5,fertility_rate_all_lag_3,fertility_rate_village_lag_20,fertility_rate_village_lag_15,fertility_rate_village_lag_10,fertility_rate_village_lag_5,fertility_rate_village_lag_3
Агинский Бурятский округ (Забайкальский край),1990,0.0,0.0,0.0,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1991,0.0,0.0,0.0,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1992,0.0,0.0,0.0,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1993,2.145,2.764,3.178,,,,,0.0,,,,,0.0,,,,,0.0
Агинский Бурятский округ (Забайкальский край),1994,2.061,2.721,3.173,,,,,0.0,,,,,0.0,,,,,0.0
Агинский Бурятский округ (Забайкальский край),1995,2.104,2.566,2.903,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0
Агинский Бурятский округ (Забайкальский край),1996,1.901,2.298,2.562,,,,0.0,2.145,,,,0.0,2.764,,,,0.0,3.178
Агинский Бурятский округ (Забайкальский край),1997,1.789,2.186,2.435,,,,0.0,2.061,,,,0.0,2.721,,,,0.0,3.173
Агинский Бурятский округ (Забайкальский край),1998,1.937,2.286,2.508,,,,2.145,2.104,,,,2.764,2.566,,,,3.178,2.903
Агинский Бурятский округ (Забайкальский край),1999,1.894,2.222,2.426,,,,2.061,1.901,,,,2.721,2.298,,,,3.173,2.562
Агинский Бурятский округ (Забайкальский край),2000,1.864,2.077,2.212,,,0.0,2.104,1.789,,,0.0,2.566,2.186,,,0.0,2.903,2.435
Агинский Бурятский округ (Забайкальский край),2001,2.086,2.207,2.293,,,0.0,1.901,1.937,,,0.0,2.298,2.286,,,0.0,2.562,2.508
Агинский Бурятский округ (Забайкальский край),2002,2.099,2.255,2.372,,,0.0,1.789,1.894,,,0.0,2.186,2.222,,,0.0,2.435,2.426
Архангельская область (кроме Ненецкого автономного округа),2011,1.416,1.619,2.735,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2012,1.525,1.745,3.112,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2013,1.575,1.8,3.259,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2014,1.587,1.841,3.468,,,,,1.416,,,,,1.619,,,,,2.735
Архангельская область (кроме Ненецкого автономного округа),2015,1.703,1.859,2.987,,,,,1.525,,,,,1.745,,,,,3.112
Архангельская область (кроме Ненецкого автономного округа),2016,1.684,1.853,3.09,,,,1.416,1.575,,,,1.619,1.8,,,,2.735,3.259
Архангельская область (кроме Ненецкого автономного округа),2017,1.553,1.731,2.996,,,,1.525,1.587,,,,1.745,1.841,,,,3.112,3.468
Архангельская область (кроме Ненецкого автономного округа),2018,1.502,1.658,2.704,,,,1.575,1.703,,,,1.8,1.859,,,,3.259,2.987
Архангельская область (кроме Ненецкого автономного округа),2019,1.437,1.586,2.477,,,,1.587,1.684,,,,1.841,1.853,,,,3.468,3.09
Архангельская область (кроме Ненецкого автономного округа),2020,1.435,1.548,2.207,,,,1.703,1.553,,,,1.859,1.731,,,,2.987,2.996
Архангельская область (кроме Ненецкого автономного округа),2021,1.419,1.548,2.284,,,1.416,1.684,1.502,,,1.619,1.853,1.658,,,2.735,3.09,2.704
Архангельская область (кроме Ненецкого автономного округа),2022,1.372,1.476,2.072,,,1.525,1.553,1.437,,,1.745,1.731,1.586,,,3.112,2.996,2.477
Архангельская область (кроме Ненецкого автономного округа),2023,1.337,1.437,2.004,,,1.575,1.502,1.435,,,1.8,1.658,1.548,,,3.259,2.704,2.207
"Коми-Пермяцкий округ, входящий в состав Пермского края",1990,0.0,0.0,0.0,,,,,,,,,,,,,,,
"Коми-Пермяцкий округ, входящий в состав Пермского края",1991,0.0,0.0,0.0,,,,,,,,,,,,,,,
"Коми-Пермяцкий округ, входящий в состав Пермского края",1992,0.0,0.0,0.0,,,,,,,,,,,,,,,
"Коми-Пермяцкий округ, входящий в состав Пермского края",1993,1.313,2.064,2.674,,,,,0.0,,,,,0.0,,,,,0.0
"Коми-Пермяцкий округ, входящий в состав Пермского края",1994,1.359,1.948,2.435,,,,,0.0,,,,,0.0,,,,,0.0
"Коми-Пермяцкий округ, входящий в состав Пермского края",1995,1.245,1.813,2.279,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0
"Коми-Пермяцкий округ, входящий в состав Пермского края",1996,1.267,1.846,2.344,,,,0.0,1.313,,,,0.0,2.064,,,,0.0,2.674
"Коми-Пермяцкий округ, входящий в состав Пермского края",1997,1.319,1.873,2.432,,,,0.0,1.359,,,,0.0,1.948,,,,0.0,2.435
"Коми-Пермяцкий округ, входящий в состав Пермского края",1998,1.262,1.833,2.304,,,,1.313,1.245,,,,2.064,1.813,,,,2.674,2.279
"Коми-Пермяцкий округ, входящий в состав Пермского края",1999,1.309,1.926,2.394,,,,1.359,1.267,,,,1.948,1.846,,,,2.435,2.344
"Коми-Пермяцкий округ, входящий в состав Пермского края",2000,1.314,1.902,2.291,,,0.0,1.245,1.319,,,0.0,1.813,1.873,,,0.0,2.279,2.432
"Коми-Пермяцкий округ, входящий в состав Пермского края",2001,1.253,1.866,2.289,,,0.0,1.267,1.262,,,0.0,1.846,1.833,,,0.0,2.344,2.304
"Коми-Пермяцкий округ, входящий в состав Пермского края",2002,1.29,1.966,2.338,,,0.0,1.319,1.309,,,0.0,1.873,1.926,,,0.0,2.432,2.394
"Корякский округ, входящий в состав Камчатского края",1990,0.0,0.0,0.0,,,,,,,,,,,,,,,
