Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2012,1100,T,B,1828850,6702732,7360269,6677476,7408778,11220166,12466202,11262755,10433202,9468365,9792395,11514136,10328251,8558240,4182730,5952348,3873785,2780431,1567336
2012,1100,T,M,941094,3438351,3770739,3425806,3779472,5692748,6263573,5593032,5094084,4598308,4635184,5285828,4501014,3541476,1609955,1989934,1176634,717229,301990
2012,1100,T,F,887756,3264381,3589531,3251670,3629306,5527419,6202629,5669723,5339118,4870057,5157211,6228309,5827238,5016765,2572775,3962415,2697151,2063203,1265346
2012,1100,U,B,1295845,4720432,5206195,4652797,5398214,8605029,9552206,8695508,7972863,7078299,7111788,8347216,7599093,6454399,3216040,4330140,2756812,1957161,1158351
2012,1100,U,M,667616,2423412,2667382,2386398,2733184,4308709,4744288,4278339,3857453,3399501,3299436,3724597,3214572,2602942,1222340,1431751,822363,498656,233469
2012,1100,U,F,628229,2297020,2538813,2266399,2665031,4296320,4807918,4417169,4115410,3678799,3812352,4622619,4384521,3851457,1993700,2898389,1934449,1458505,924882
2012,1100,R,B,533006,1982301,2154075,2024679,2010564,2615138,2913996,2567247,2460339,2390066,2680607,3166920,2729159,2103842,966691,1622209,1116973,823271,408985
2012,1100,R,M,273478,1014940,1103357,1039409,1046288,1384039,1519285,1314694,1236631,1198807,1335749,1561231,1286442,938534,387616,558183,354271,218573,68521
2012,1100,R,F,259528,967361,1050718,985271,964276,1231099,1394711,1252554,1223708,1191259,1344859,1605690,1442717,1165308,579075,1064026,762702,604698,340464
2012,3000,T,B,432032,1523375,1712994,1590690,1781387,2858503,3297814,3080476,2870714,2656630,2723839,3195758,2874509,2453880,1285675,1820036,1181303,896499,530180
2012,3000,T,M,223913,783273,878605,819189,913269,1454112,1647395,1532938,1410869,1299826,1289426,1464055,1249620,1009033,496666,603245,355214,227513,104710
2012,3000,T,F,208119,740103,834389,771501,868118,1404391,1650419,1547538,1459845,1356804,1434413,1731703,1624889,1444847,789009,1216791,826089,668986,425470
2012,3000,U,B,350880,1230000,1390571,1280576,1453501,2381260,2751811,2595718,2401146,2193244,2202994,2568207,2324466,2004634,1066772,1432772,913677,677486,417181
2012,3000,U,M,181941,632796,713102,658404,742036,1199759,1360231,1281485,1171692,1064303,1027476,1152130,989422,811233,411743,477022,275759,174671,87961
2012,3000,U,F,168939,597204,677469,622172,711465,1181502,1391580,1314233,1229454,1128942,1175518,1416078,1335044,1193401,655029,955750,637919,502815,329220
2012,3000,R,B,81152,293376,322424,310114,327887,477243,546003,484759,469568,463386,520845,627551,550043,449247,218903,387264,267626,219013,112999
