date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.10.2008,Алтайский край,1005,16,8,59,300,398
01.10.2008,Амурская область,251,4,5,17,173,287
01.10.2008,Архангельская область,310,15,3,35,142,242
01.10.2008,Астраханская область,273,4,5,30,112,275
01.10.2008,Белгородская область,465,5,6,33,135,307
01.10.2008,Брянская область,310,5,1,30,78,235
01.10.2008,Владимирская область,421,8,2,30,159,288
01.10.2008,Волгоградская область,716,9,5,74,247,273
01.10.2008,Вологодская область,407,8,9,32,184,331
01.10.2008,Воронежская область,664,6,3,57,206,289
01.10.2008,Еврейская авт. область,46,2,0,6,17,248
01.10.2008,Ивановская область,272,4,6,21,125,250
01.10.2008,Иркутская область,633,18,9,55,444,252
01.10.2008,Кабардино-Балкарская Республика,156,4,6,11,71,175
01.10.2008,Калининградская область,316,2,10,41,158,337
01.10.2008,Калужская область,288,4,5,29,134,285
01.10.2008,Камчатский край,121,13,6,12,71,349
01.10.2008,Карачаево-Черкесская Республика,49,2,5,4,36,114
01.10.2008,Кемеровская область,580,9,8,43,314,205
01.10.2008,Кировская область,445,9,3,30,166,312
01.10.2008,Костромская область,236,6,4,15,105,336
01.10.2008,Краснодарский край,1527,24,17,110,1 111,299
01.10.2008,Красноярский край,916,25,6,75,464,317
01.10.2008,Курганская область,325,4,5,24,83,335
01.10.2008,Курская область,309,5,2,22,149,264
01.10.2008,Ленинградская область,383,4,4,40,250,234
01.10.2008,Липецкая область,319,4,2,26,113,272
01.10.2008,Магаданская область,69,8,2,14,31,409
01.10.2008,г. Москва и Московская область,6614,17,567,286,3 854,387
01.10.2008,Мурманская область,226,3,4,25,148,264
01.10.2008,Нижегородская область,1221,17,18,116,419,361
01.10.2008,Новгородская область,183,3,2,17,122,278
01.10.2008,Новосибирская область,798,10,13,63,448,302
01.10.2008,Омская область,713,10,7,46,187,352
01.10.2008,Оренбургская область,855,16,9,57,255,402
01.10.2008,Орловская область,241,4,2,25,79,292
01.10.2008,Пензенская область,603,7,2,34,140,432
01.10.2008,Пермский край,836,11,8,76,338,306
01.10.2008,Приморский край,499,16,8,44,351,249
01.10.2008,Псковская область,191,4,3,13,120,268
01.10.2008,Республика Адыгея (Адыгея),97,3,5,6,71,220
01.10.2008,Республика Алтай,60,7,5,4,29,292
01.10.2008,Республика Башкортостан,1 286,10,11,65,632,317
01.10.2008,Республика Бурятия,290,14,1,21,215,302
01.10.2008,Республика Дагестан,235,12,32,70,116,88
01.10.2008,Республика Ингушетия,20,2,2,4,12,41
01.10.2008,Республика Калмыкия,50,1,2,4,39,174
01.10.2008,Республика Карелия,182,12,1,22,102,263
01.10.2008,Республика Коми,300,14,3,41,100,308
01.10.2008,Республика Марий Эл,161,6,1,21,49,228
01.10.2008,Республика Мордовия,313,2,4,15,119,369
01.10.2008,Республика Саха (Якутия),337,20,5,47,117,355
01.10.2008,Республика Северная Осетия-Алания,80,3,6,16,45,114
01.10.2008,Республика Татарстан (Татарстан),1 685,14,26,104,515,448
01.10.2008,Республика Тыва,53,3,2,4,36,171
01.10.2008,Республика Хакасия,182,4,3,8,81,339
01.10.2008,Ростовская область,1 290,14,23,112,875,302
01.10.2008,Рязанская область,295,5,4,27,115,252
01.10.2008,Самарская область,987,9,21,96,424,311
01.10.2008,г. Санкт-Петербург,1 537,3,42,155,1 002,336
01.10.2008,Саратовская область,995,12,12,73,235,383
01.10.2008,Сахалинская область,134,11,5,16,73,257
01.10.2008,Свердловская область,1 208,13,24,103,761,275
01.10.2008,Смоленская область,249,6,4,30,101,251
01.10.2008,Ставропольский край,594,10,8,64,425,220
01.10.2008,Тамбовская область,329,3,2,20,91,295
01.10.2008,Тверская область,363,13,8,39,118,261
01.10.2008,Томская область,299,10,4,36,151,289
01.10.2008,Тульская область,369,6,5,37,184,233
01.10.2008,Тюменская область,1 409,22,22,160,564,421
01.10.2008,Удмуртская Республика,400,6,8,31,179,260
01.10.2008,Ульяновская область,436,5,4,32,183,330
01.10.2008,Хабаровский край,358,4,5,33,255,255
01.10.2008,Челябинская область,859,11,11,118,464,244
01.10.2008,Чеченская Республика,1,0,0,1,0,1
01.10.2008,Читинская область,339,17,2,23,264,302
01.10.2008,Чувашская Республика - Чувашия,348,4,5,27,95,271
01.10.2008,Чукотский авт. округ,35,8,0,7,11,693
01.10.2008,Ярославская область,389,5,8,43,193,295
01.07.2008,Алтайский край,1 004,18,8,57,293,398
01.07.2008,Амурская область,249,4,5,16,167,285
01.07.2008,Архангельская область,309,16,3,35,137,241
01.07.2008,Астраханская область,270,4,5,30,107,272
01.07.2008,Белгородская область,456,6,6,34,132,301
01.07.2008,Брянская область,307,6,1,31,71,233
01.07.2008,Владимирская область,412,10,2,30,153,282
01.07.2008,Волгоградская область,709,9,5,72,241,271
