region,date,life_expectancy_both_sex_all,life_expectancy_both_sex_village,life_expectancy_female_sex_village,life_expectancy_both_sex_city,life_expectancy_male_sex_city,life_expectancy_male_sex_village,life_expectancy_female_sex_city,life_expectancy_female_sex_all,life_expectancy_male_sex_all,life_expectancy_both_sex_all_lag_20,life_expectancy_both_sex_all_lag_15,life_expectancy_both_sex_all_lag_10,life_expectancy_both_sex_all_lag_5,life_expectancy_both_sex_all_lag_3,life_expectancy_both_sex_village_lag_20,life_expectancy_both_sex_village_lag_15,life_expectancy_both_sex_village_lag_10,life_expectancy_both_sex_village_lag_5,life_expectancy_both_sex_village_lag_3,life_expectancy_female_sex_village_lag_20,life_expectancy_female_sex_village_lag_15,life_expectancy_female_sex_village_lag_10,life_expectancy_female_sex_village_lag_5,life_expectancy_female_sex_village_lag_3,life_expectancy_both_sex_city_lag_20,life_expectancy_both_sex_city_lag_15,life_expectancy_both_sex_city_lag_10,life_expectancy_both_sex_city_lag_5,life_expectancy_both_sex_city_lag_3,life_expectancy_male_sex_city_lag_20,life_expectancy_male_sex_city_lag_15,life_expectancy_male_sex_city_lag_10,life_expectancy_male_sex_city_lag_5,life_expectancy_male_sex_city_lag_3,life_expectancy_male_sex_village_lag_20,life_expectancy_male_sex_village_lag_15,life_expectancy_male_sex_village_lag_10,life_expectancy_male_sex_village_lag_5,life_expectancy_male_sex_village_lag_3,life_expectancy_female_sex_city_lag_20,life_expectancy_female_sex_city_lag_15,life_expectancy_female_sex_city_lag_10,life_expectancy_female_sex_city_lag_5,life_expectancy_female_sex_city_lag_3,life_expectancy_female_sex_all_lag_20,life_expectancy_female_sex_all_lag_15,life_expectancy_female_sex_all_lag_10,life_expectancy_female_sex_all_lag_5,life_expectancy_female_sex_all_lag_3,life_expectancy_male_sex_all_lag_20,life_expectancy_male_sex_all_lag_15,life_expectancy_male_sex_all_lag_10,life_expectancy_male_sex_all_lag_5,life_expectancy_male_sex_all_lag_3
Агинский Бурятский округ (Забайкальский край),1993,62.4,62.8,69.1,61.3,54.7,57.2,68.7,68.9,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1994,59.9,60.8,67.7,58.3,52.8,54.8,64.1,66.7,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1995,62.7,63.4,69.3,61.2,55.8,57.8,66.7,68.7,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),1996,62.3,62.9,69.6,60.6,54.0,56.9,67.6,69.2,56.2,,,,,62.4,,,,,62.8,,,,,69.1,,,,,61.3,,,,,54.7,,,,,57.2,,,,,68.7,,,,,68.9,,,,,56.5
Агинский Бурятский округ (Забайкальский край),1997,63.9,64.8,69.7,61.9,57.0,59.8,66.6,68.8,59.0,,,,,59.9,,,,,60.8,,,,,67.7,,,,,58.3,,,,,52.8,,,,,54.8,,,,,64.1,,,,,66.7,,,,,54.2
Агинский Бурятский округ (Забайкальский край),1998,63.5,64.9,70.7,61.3,56.6,59.5,66.5,68.9,58.4,,,,62.4,62.7,,,,62.8,63.4,,,,69.1,69.3,,,,61.3,61.2,,,,54.7,55.8,,,,57.2,57.8,,,,68.7,66.7,,,,68.9,68.7,,,,56.5,57.2
Агинский Бурятский округ (Забайкальский край),1999,62.8,64.4,71.3,60.1,52.3,58.2,68.5,70.2,56.1,,,,59.9,62.3,,,,60.8,62.9,,,,67.7,69.6,,,,58.3,60.6,,,,52.8,54.0,,,,54.8,56.9,,,,64.1,67.6,,,,66.7,69.2,,,,54.2,56.2
Агинский Бурятский округ (Забайкальский край),2000,61.9,63.1,70.2,59.4,53.3,57.0,66.7,68.9,55.7,,,,62.7,63.9,,,,63.4,64.8,,,,69.3,69.7,,,,61.2,61.9,,,,55.8,57.0,,,,57.8,59.8,,,,66.7,66.6,,,,68.7,68.8,,,,57.2,59.0
Агинский Бурятский округ (Забайкальский край),2001,61.3,63.2,70.1,58.2,51.0,57.0,66.3,68.8,54.8,,,,62.3,63.5,,,,62.9,64.9,,,,69.6,70.7,,,,60.6,61.3,,,,54.0,56.6,,,,56.9,59.5,,,,67.6,66.5,,,,69.2,68.9,,,,56.2,58.4
Агинский Бурятский округ (Забайкальский край),2002,62.2,62.3,69.8,61.8,55.8,56.5,68.1,69.1,56.2,,,,63.9,62.8,,,,64.8,64.4,,,,69.7,71.3,,,,61.9,60.1,,,,57.0,52.3,,,,59.8,58.2,,,,66.6,68.5,,,,68.8,70.2,,,,59.0,56.1
Архангельская область (кроме Ненецкого автономного округа),2011,68.78,65.07,72.62,70.01,64.0,59.13,75.74,75.01,62.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2012,69.57,66.69,73.55,70.47,64.51,61.12,76.08,75.51,63.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2013,70.06,66.97,74.39,70.97,64.99,61.13,76.57,76.1,64.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),2014,69.89,66.14,73.61,71.01,64.91,60.32,76.76,76.06,63.83,,,,,68.78,,,,,65.07,,,,,72.62,,,,,70.01,,,,,64.0,,,,,59.13,,,,,75.74,,,,,75.01,,,,,62.73
Архангельская область (кроме Ненецкого автономного округа),2015,70.33,67.26,73.72,71.23,65.21,61.96,76.95,76.3,64.42,,,,,69.57,,,,,66.69,,,,,73.55,,,,,70.47,,,,,64.51,,,,,61.12,,,,,76.08,,,,,75.51,,,,,63.67
Архангельская область (кроме Ненецкого автономного округа),2016,70.32,66.75,74.36,71.31,65.48,60.8,76.77,76.28,64.43,,,,68.78,70.06,,,,65.07,66.97,,,,72.62,74.39,,,,70.01,70.97,,,,64.0,64.99,,,,59.13,61.13,,,,75.74,76.57,,,,75.01,76.1,,,,62.73,64.06
Архангельская область (кроме Ненецкого автономного округа),2017,71.41,67.81,74.72,72.46,66.57,62.26,77.93,77.27,65.55,,,,69.57,69.89,,,,66.69,66.14,,,,73.55,73.61,,,,70.47,71.01,,,,64.51,64.91,,,,61.12,60.32,,,,76.08,76.76,,,,75.51,76.06,,,,63.67,63.83
Архангельская область (кроме Ненецкого автономного округа),2018,71.44,67.63,74.95,72.49,66.87,61.87,77.62,77.11,65.72,,,,70.06,70.33,,,,66.97,67.26,,,,74.39,73.72,,,,70.97,71.23,,,,64.99,65.21,,,,61.13,61.96,,,,76.57,76.95,,,,76.1,76.3,,,,64.06,64.42
Архангельская область (кроме Ненецкого автономного округа),2019,71.52,67.9,74.2,72.51,66.84,62.77,77.72,77.02,65.94,,,,69.89,70.32,,,,66.14,66.75,,,,73.61,74.36,,,,71.01,71.31,,,,64.91,65.48,,,,60.32,60.8,,,,76.76,76.77,,,,76.06,76.28,,,,63.83,64.43
Архангельская область (кроме Ненецкого автономного округа),2020,70.54,68.26,74.85,71.17,65.46,62.69,76.64,76.3,64.87,,,,70.33,71.41,,,,67.26,67.81,,,,73.72,74.72,,,,71.23,72.46,,,,65.21,66.57,,,,61.96,62.26,,,,76.95,77.93,,,,76.3,77.27,,,,64.42,65.55
Архангельская область (кроме Ненецкого автономного округа),2021,68.67,65.74,72.45,69.46,64.11,60.28,74.75,74.32,63.28,,,68.78,70.32,71.44,,,65.07,66.75,67.63,,,72.62,74.36,74.95,,,70.01,71.31,72.49,,,64.0,65.48,66.87,,,59.13,60.8,61.87,,,75.74,76.77,77.62,,,75.01,76.28,77.11,,,62.73,64.43,65.72
Архангельская область (кроме Ненецкого автономного округа),2022,70.93,68.15,74.57,71.68,66.03,62.66,77.03,76.57,65.32,,,69.57,71.41,71.52,,,66.69,67.81,67.9,,,73.55,74.72,74.2,,,70.47,72.46,72.51,,,64.51,66.57,66.84,,,61.12,62.26,62.77,,,76.08,77.93,77.72,,,75.51,77.27,77.02,,,63.67,65.55,65.94
Архангельская область (кроме Ненецкого автономного округа),2023,71.54,67.38,75.54,72.65,66.69,61.0,78.33,77.79,65.52,,,70.06,71.44,70.54,,,66.97,67.63,68.26,,,74.39,74.95,74.85,,,70.97,72.49,71.17,,,64.99,66.87,65.46,,,61.13,61.87,62.69,,,76.57,77.62,76.64,,,76.1,77.11,76.3,,,64.06,65.72,64.87
"Коми-Пермяцкий округ, входящий в состав Пермского края",1993,59.9,59.0,66.4,61.9,54.7,52.9,69.5,67.4,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Коми-Пермяцкий округ, входящий в состав Пермского края",1994,58.8,58.3,65.1,59.8,54.5,52.9,65.0,65.1,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Коми-Пермяцкий округ, входящий в состав Пермского края",1995,60.6,59.9,68.2,61.7,55.0,53.3,69.1,68.6,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
