date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.10.2010,Алтайский край,"508,2","20,8","13,1","487,4","49,8","342,2"
01.10.2010,Амурская область,"280,8","5,1","3,8","275,6","29,7","38,9"
01.10.2010,Архангельская область,"291,7","10,6","6,2",281,"25,5","172,2"
01.10.2010,Астраханская область,668,"5,2","3,3","662,8","2,9","127,8"
01.10.2010,Белгородская область,"732,7","11,5","5,7","721,2","35,8","127,5"
01.10.2010,Брянская область,"368,8","6,7","5,1","362,1",15,"189,3"
01.10.2010,Владимирская область,274,"14,9","6,6","259,1","8,6","90,3"
01.10.2010,Волгоградская область,"537,5","17,8","10,3","519,8","29,6","81,5"
01.10.2010,Вологодская область,"420,2","13,5","4,4","406,8","28,7","24,4"
01.10.2010,Воронежская область,"955,8","24,9","15,7","930,9","18,4","84,5"
01.10.2010,Еврейская автономная область,"40,5","0,6","0,3","39,9","14,4","15,6"
01.10.2010,Забайкальский край,"271,2","3,6","2,3","267,6","14,8","135,8"
01.10.2010,Ивановская область,"242,7","9,5","5,8","233,2","22,5","138,6"
01.10.2010,Иркутская область,"774,9","18,9","10,7",756,"266,4","26,2"
01.10.2010,Кабардино-Балкарская Республика,"71,8","0,8","0,5",71,"2,8","0,1"
01.10.2010,Калининградская область,"105,8","19,6","14,5","86,2","3,4","0,1"
01.10.2010,Калужская область,"258,6","6,1","3,9","252,5","1,7","15,2"
01.10.2010,Камчатский край,"88,3","3,8","3,5","84,4",1,"19,5"
01.10.2010,Карачаево-Черкесская Республика,"60,1","0,5","0,2","59,6","3,1","33,1"
01.10.2010,Кемеровская область,"573,4","24,2","13,2","549,2","132,7","127,6"
01.10.2010,Кировская область,"512,9","11,3","8,5","501,6","2,6","28,4"
01.10.2010,Костромская область,"183,8","6,8","3,2",177,"0,2","27,1"
01.10.2010,Краснодарский край,"1695,7",75,20,"1 620,6","59,9","81,4"
01.10.2010,Красноярский край,"1298,8","22,8","16,1","1 275,9","141,1","65,7"
01.10.2010,Курганская область,"257,3","4,8","3,3","252,5","3,4","109,1"
01.10.2010,Курская область,"529,3","8,1","4,3","521,3","3,8","138,1"
