,date,date.1,region,"The number of accounts opened by institutions of the banking system, per 1 resident, units.",Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,Number of bank institutions per 1 million inhabitants,payments orders with internet,letter of credit,payment requirements with internet,collection orders,"The number of accounts opened by institutions of the banking system, per 1 resident, units._normalized",Total number of banking system institutions_normalized,institutions of the Bank of Russia_normalized,credit institutions_normalized,branches of credit organizations_normalized,Number of bank institutions per 1 million inhabitants_normalized,payments orders with internet_normalized,letter of credit_normalized,payment requirements with internet_normalized,collection orders_normalized,geometric_mean
0,2022-10-01,2022-10-01,Алтайский край,4.3,568.0,2,2,2,243.0,,,,,0.1516853932584269,0.1694088970140158,0.1428571428571428,0.0105820105820105,0.0357142857142857,0.4572025052192067,,,,,0.0926936783142682
1,2022-10-01,2022-10-01,Амурская область,6.2,151.0,2,1,5,190.0,,,,,0.2584269662921348,0.0423522242535039,0.1428571428571428,0.0052910052910052,0.0892857142857142,0.3465553235908142,,,,,0.0796834495605386
2,2022-10-01,2022-10-01,Архангельская область,4.3,187.0,3,0,2,163.0,,,,,0.1516853932584269,0.0533211456429006,0.2857142857142857,0.0,0.0357142857142857,0.290187891440501,,,,,0.1190856109247576
3,2022-10-01,2022-10-01,Астраханская область,4.3,163.0,1,1,2,161.0,,,,,0.1516853932584269,0.0460085313833028,0.0,0.0052910052910052,0.0357142857142857,0.2860125260960334,,,,,0.0519169857887329
4,2022-10-01,2022-10-01,Белгородская область,4.4,345.0,1,1,3,223.0,,,,,0.1573033707865169,0.1014625228519195,0.0,0.0052910052910052,0.0535714285714285,0.4154488517745303,,,,,0.0715824460251881
5,2022-10-01,2022-10-01,Брянская область,4.2,133.0,1,0,2,111.0,,,,,0.1460674157303371,0.0368677635588056,0.0,0.0,0.0357142857142857,0.1816283924843423,,,,,0.0768787762728192
6,2022-10-01,2022-10-01,Владимирская область,4.6,224.0,1,1,2,164.0,,,,,0.1685393258426966,0.0645947592931139,0.0,0.0052910052910052,0.0357142857142857,0.2922755741127348,,,,,0.0569920455221504
7,2022-10-01,2022-10-01,Волгоградская область,4.1,443.0,2,1,7,177.0,,,,,0.1404494382022472,0.1313223644119439,0.1428571428571428,0.0052910052910052,0.125,0.3194154488517745,,,,,0.0906972524723027
8,2022-10-01,2022-10-01,Вологодская область,4.0,218.0,2,3,1,187.0,,,,,0.1348314606741573,0.0627666057282145,0.1428571428571428,0.0158730158730158,0.0178571428571428,0.3402922755741127,,,,,0.0698968428381613
9,2022-10-01,2022-10-01,Воронежская область,7.4,506.0,1,0,8,217.0,,,,,0.3258426966292135,0.1505179768433882,0.0,0.0,0.1428571428571428,0.4029227557411273,,,,,0.230504829856128
10,2022-10-01,2022-10-01,Еврейская автономная область,3.8,33.0,1,0,1,206.0,,,,,0.1235955056179775,0.006398537477148,0.0,0.0,0.0178571428571428,0.3799582463465553,,,,,0.0481291078072843
11,2022-10-01,2022-10-01,Забайкальский край,4.1,179.0,1,0,2,168.0,,,,,0.1404494382022472,0.050883607556368,0.0,0.0,0.0357142857142857,0.3006263048016701,,,,,0.0935926430793942
12,2022-10-01,2022-10-01,Ивановская область,4.1,150.0,1,3,2,149.0,,,,,0.1404494382022472,0.0420475319926873,0.0,0.0158730158730158,0.0357142857142857,0.2609603340292276,,,,,0.0614139861862936
13,2022-10-01,2022-10-01,Иркутская область,5.0,357.0,1,3,7,149.0,,,,,0.1910112359550562,0.1051188299817184,0.0,0.0158730158730158,0.125,0.2609603340292276,,,,,0.1007805395810684
14,2022-10-01,2022-10-01,Кабардино-Балкарская Республика,3.2,74.0,2,1,3,85.0,,,,,0.0898876404494382,0.0188909201706276,0.1428571428571428,0.0052910052910052,0.0535714285714285,0.127348643006263,,,,,0.0453997505241454
15,2022-10-01,2022-10-01,Калининградская область,4.5,174.0,1,1,5,174.0,,,,,0.1629213483146067,0.0493601462522851,0.0,0.0052910052910052,0.0892857142857142,0.313152400835073,,,,,0.065326000583877
16,2022-10-01,2022-10-01,Калужская область,5.0,170.0,1,3,3,168.0,,,,,0.1910112359550562,0.0481413772090188,0.0,0.0158730158730158,0.0535714285714285,0.3006263048016701,,,,,0.0748582062551682
17,2022-10-01,2022-10-01,Камчатский край,5.2,79.0,2,1,2,251.0,,,,,0.202247191011236,0.0204143814747105,0.1428571428571428,0.0052910052910052,0.0357142857142857,0.4739039665970772,,,,,0.0612536348771067
18,2022-10-01,2022-10-01,Карачаево-Черкесская Республика,3.0,34.0,1,0,1,73.0,,,,,0.0786516853932584,0.0067032297379646,0.0,0.0,0.0178571428571428,0.1022964509394572,,,,,0.031326809727252
19,2022-10-01,2022-10-01,Кемеровская область,4.6,395.0,2,5,5,148.0,,,,,0.1685393258426966,0.1166971358927483,0.1428571428571428,0.0264550264550264,0.0892857142857142,0.2588726513569937,,,,,0.1094392966270077
20,2022-10-01,2022-10-01,Кировская область,4.7,274.0,1,2,3,215.0,,,,,0.1741573033707865,0.0798293723339427,0.0,0.0105820105820105,0.0535714285714285,0.3987473903966597,,,,,0.0793342528162308
21,2022-10-01,2022-10-01,Костромская область,6.2,98.0,1,3,2,154.0,,,,,0.2584269662921348,0.0262035344302254,0.0,0.0158730158730158,0.0357142857142857,0.2713987473903966,,,,,0.0636152725808813
22,2022-10-01,2022-10-01,Краснодарский край,5.4,1100.0,3,5,16,195.0,,,,,0.2134831460674157,0.3315051797684338,0.2857142857142857,0.0264550264550264,0.2857142857142857,0.3569937369519833,,,,,0.1947516310401344
23,2022-10-01,2022-10-01,Красноярский край,5.2,470.0,2,1,10,164.0,,,,,0.202247191011236,0.1395490554539914,0.1428571428571428,0.0052910052910052,0.1785714285714285,0.2922755741127348,,,,,0.1018065393867242
