,date,region,total_accounts,total_in_credit_org,clients-legal entities that are not credit institutions,individual clients,"The number of accounts opened by institutions of the banking system, per 1 resident, units.",Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants,number_of_new_remote_accounts,number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
0,2010-01-01,Алтайский край,5937.4,5935.4,63.7,5871.7,2.4,935.0,13,7,52,289.0,374.0,463.0,444.5,7.6,174.8
1,2010-01-01,Амурская область,2774.8,2774.2,29.7,2744.5,3.2,230.0,4,3,15,155.0,266.0,251.8,247.6,1.6,26.1
2,2010-01-01,Архангельская область,3864.2,3863.4,45.1,3818.3,3.1,314.0,14,3,31,168.0,249.0,225.5,216.1,8.0,102.0
3,2010-01-01,Астраханская область,2688.1,2687.6,32.3,2655.3,2.7,267.0,4,4,26,120.0,266.0,591.5,587.1,2.7,79.7
4,2010-01-01,Белгородская область,4444.1,4443.4,50.0,4393.4,2.9,466.0,5,5,33,142.0,306.0,657.6,646.5,4.8,87.8
5,2010-01-01,Брянская область,3705.8,3705.1,32.1,3672.9,2.9,311.0,4,1,25,82.0,239.0,150.6,143.0,11.1,73.1
6,2010-01-01,Владимирская область,4719.4,4718.7,49.7,4669.0,3.3,414.0,7,3,23,170.0,288.0,262.5,251.0,4.8,50.7
7,2010-01-01,Волгоградская область,6787.2,6785.7,78.5,6707.2,2.6,723.0,9,5,63,272.0,278.0,503.1,487.9,18.7,65.2
8,2010-01-01,Вологодская область,3605.1,3604.4,53.5,3550.9,3.0,405.0,7,8,28,303.0,332.0,338.4,324.6,3.6,22.1
9,2010-01-01,Воронежская область,7861.7,7860.7,89.1,7771.6,3.5,662.0,6,3,58,214.0,292.0,967.6,944.8,51.6,55.7
10,2010-01-01,Еврейская автономная область,377.0,376.9,4.9,371.9,2.0,46.0,2,0,5,17.0,248.0,43.0,42.2,0.0,9.7
11,2010-01-01,Ивановская область,2764.5,2763.9,38.7,2725.2,2.6,271.0,4,6,17,131.0,253.0,177.7,168.9,1.8,100.7
12,2010-01-01,Иркутская область,7891.6,7890.6,75.9,7814.7,3.1,586.0,17,8,48,401.0,234.0,647.9,630.9,204.8,15.4
13,2010-01-01,Кабардино-Балкарская Республика,1575.4,1575.1,16.8,1558.3,1.8,153.0,3,7,13,74.0,171.0,1.8,0.9,0.0,0.0
14,2010-01-01,Калининградская область,1712.3,1712.2,71.8,1640.3,1.8,298.0,2,7,36,154.0,318.0,102.6,84.3,2.2,0.0
15,2010-01-01,Калужская область,2656.0,2655.5,39.0,2616.5,2.6,291.0,3,4,27,140.0,290.0,41.3,35.5,1.9,10.6
16,2010-01-01,Камчатский край,1164.8,1164.5,20.7,1143.9,3.4,121.0,13,5,13,72.0,352.0,81.3,78.5,0.4,8.9
17,2010-01-01,Карачаево-Черкесская Республика,823.6,823.4,9.6,813.8,1.9,48.0,2,5,4,34.0,112.0,47.7,47.3,8.6,19.7
18,2010-01-01,Кемеровская область,8837.9,8837.0,70.0,8767.0,3.1,574.0,8,8,35,319.0,203.0,448.4,426.1,34.0,84.3
19,2010-01-01,Кировская область,3713.8,3713.1,56.4,3656.7,2.7,435.0,8,3,22,184.0,310.0,282.2,272.6,1.0,4.0
20,2010-01-01,Костромская область,1866.9,1866.1,28.3,1837.7,2.7,200.0,6,5,12,113.0,289.0,53.7,47.2,0.1,17.6
21,2010-01-01,Краснодарский край,13280.8,13279.6,221.2,13058.5,2.6,1533.0,20,17,105,1126.0,298.0,1719.9,1646.9,169.0,57.3
22,2010-01-01,Красноярский край,8900.4,8899.0,89.9,8809.1,3.1,882.0,22,6,63,479.0,305.0,663.1,642.0,117.1,24.0
23,2010-01-01,Курганская область,2224.1,2223.4,20.1,2203.3,2.3,314.0,4,4,19,81.0,330.0,263.0,258.5,0.8,81.4
24,2010-01-01,Курская область,3946.7,3945.7,35.3,3910.4,3.4,308.0,4,2,21,149.0,267.0,558.9,551.2,2.7,113.6
25,2010-01-01,Ленинградская область,2583.2,2582.8,37.8,2545.0,1.6,381.0,4,4,32,280.0,233.0,28.9,16.6,1.9,0.1
26,2010-01-01,Липецкая область,3564.0,3563.1,35.1,3528.0,3.1,314.0,4,2,26,115.0,270.0,561.0,553.4,2.2,2.4
27,2010-01-01,Магаданская область,746.1,745.9,10.2,735.7,4.6,69.0,6,2,12,32.0,423.0,37.0,36.2,0.1,4.2
28,2010-01-01,г. Москва и Московская область,148153.8,148149.5,1661.8,146487.7,8.6,6648.0,17,535,265,3883.0,386.0,14623.6,14134.2,3291.6,656.1
29,2010-01-01,Мурманская область,1992.6,1992.4,26.7,1965.7,2.4,232.0,3,4,27,150.0,275.0,64.5,56.2,3.2,0.9
30,2010-01-01,Нижегородская область,11152.1,11150.9,148.5,11002.5,3.3,1186.0,17,16,116,427.0,355.0,442.6,403.3,50.1,45.0
31,2010-01-01,Новгородская область,1205.4,1205.0,21.7,1183.4,1.9,175.0,3,2,16,129.0,271.0,78.3,72.8,2.2,0.0
32,2010-01-01,Новосибирская область,9343.5,9342.4,168.0,9174.4,3.5,750.0,10,13,71,422.0,284.0,840.4,765.8,45.6,43.8
33,2010-01-01,Омская область,4852.5,4851.6,65.5,4786.1,2.4,660.0,9,6,47,199.0,328.0,481.5,460.0,16.6,139.2
34,2010-01-01,Оренбургская область,5932.4,5931.4,48.9,5882.5,2.8,831.0,15,9,46,269.0,394.0,959.0,950.9,5.3,95.6
