date,region,"The number of accounts opened by institutions of the banking system, per 1 resident, units.",Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,Number of bank institutions per 1 million inhabitants,payments orders with internet,payment requirements with internet,collection orders,volume orders in electronic form with internet,volume payment requirements,volume collection orders,"The number of accounts opened by institutions of the banking system, per 1 resident, units._normalized",Total number of banking system institutions_normalized,institutions of the Bank of Russia_normalized,credit institutions_normalized,branches of credit organizations_normalized,Number of bank institutions per 1 million inhabitants_normalized,payments orders with internet_normalized,payment requirements with internet_normalized,collection orders_normalized,volume orders in electronic form with internet_normalized,volume payment requirements_normalized,volume collection orders_normalized,geometric_mean
2013-01-01,Astrakhan region,2.9,296.0,3,5,21,292.0,255.8,1.2,4.9,63.5,0.2,0.2,0.5835472550922828,0.5658041671266772,0.3800937654009002,0.4883245054243353,0.5581502851614026,0.7440242994761288,0.49063762423949064,0.04412469952274512,0.3154339416476815,0.5572851601498846,0.0,0.0,0.39683577930346425
2013-01-01,Belgorod region,3.3,532.0,4,5,12,346.0,810.6,4.6,23.7,199.6,0.2,0.2,0.6543656930126801,0.7085992015189796,0.4796249314768745,0.4883245054243353,0.3976342861217674,0.8091322220996024,0.6527714124848877,0.36932975469603346,0.6282885430726917,0.7181040847680512,0.0,0.0,0.5727771355720529
2013-01-01,Bryansk region,3.0,334.0,3,0,13,264.0,275.1,0.0,18.3,68.8,0.2,0.2,0.6021280364598082,0.5952216558108809,0.3800937654009002,0.0,0.42059313657781955,0.7053456560899549,0.5008627241812879,0.0,0.5769663649127489,0.5685417205677024,0.0,0.0,0.5342804159692347
2013-01-01,Vladimir region,3.6,482.0,6,3,18,337.0,860.0,0.0,4.8,81.1,0.0,0.0,0.702054937086171,0.6845600330487676,0.6199062311393374,0.33333333232195644,0.5139348593128977,0.7990195157736135,0.6610873775016526,0.0,0.31134139259302634,0.5916377980084283,0.0,0.0,0.5546263496827735
2013-01-01,Volgograd region,3.2,740.0,9,4,43,285.0,1569.6,0.7,8.2,186.6,1.0,0.3,0.6375003451527116,0.7889754608280203,0.7601875308018003,0.42061983443808937,0.7637167397698239,0.7347139928198042,0.7456621677315926,0.0,0.4176319074106305,0.7086471065399853,0.0,0.0,0.6471709001156154
2013-01-01,Vologda Region,3.6,431.0,6,10,17,360.0,1216.8,0.0,38.8,251.7,0.0,0.2,0.702054937086171,0.657321309269925,0.6199062311393374,0.69863442264338,0.49753996821290075,0.8243517338900969,0.7098728247538508,0.0,0.726129093341654,0.750670514912414,0.0,0.0,0.6815202825416949
2013-01-01,Voronezh region,4.4,774.0,5,3,31,332.0,1905.0,6.2,27.8,332.6,0.3,0.4,0.8120386438769767,0.7999165636261527,0.5568273017022904,0.33333333232195644,0.6698614403418753,0.793284000715641,0.772885681036588,0.4415697775506226,0.6599584597371848,0.7898057836372993,0.0,0.0,0.639261550569817
2013-01-01,Jewish Autonomous Region,2.4,55.0,2,0,4,315.0,37.0,1.2,0.8,3.0,0.2,0.0,0.47982739428841514,0.15588716508708816,0.23981246573843726,0.0,0.08251656986975327,0.7731158970573906,0.2188430481550641,0.04412469952274512,0.0,0.12866502037655014,0.0,0.0,0.18582472189118174
2013-01-01,Zabaykalsky Krai,2.8,280.0,9,0,8,255.0,345.6,2.4,10.5,52.2,0.0,0.1,0.5643143849408309,0.5522696031050109,0.7601875308018003,0.0,0.2813337129306369,0.6920368486658006,0.5329340579102578,0.2118772769198885,0.46670471637676664,0.5297689325995145,0.0,0.0,0.4773864186287935
2013-01-01,Ivanovo region,3.0,301.0,4,6,14,286.0,649.0,0.0,2.7,55.5,0.4,0.0,0.6021280364598082,0.5698839857944987,0.4796249314768745,0.5436432495410011,0.4418497119702722,0.7360579480042697,0.6215161565739986,0.0,0.1971421982098609,0.5383767173723956,0.0,0.0,0.49903715363746265
2013-01-01,Irkutsk region,3.9,680.0,15,8,33,280.0,1262.7,5.2,30.4,326.3,0.1,0.2,0.7459247889907248,0.7683807074142959,0.9369210671031907,0.630929751657134,0.687794311031956,0.7279226860982244,0.715077932706311,0.3990014551698765,0.6777040220564686,0.7871204919225622,0.0,0.0,0.6937305938518213
2013-01-01,Kabardino-Balkar Republic,2.4,152.0,3,5,13,177.0,95.8,0.0,1.2,20.2,0.0,0.0,0.47982739428841514,0.4034769050090065,0.3800937654009002,0.4883245054243353,0.42059313657781955,0.551943112209732,0.3525763268626234,0.0,0.036187473774619755,0.39645474311247614,0.0,0.0,0.32652638461637534
2013-01-01,Kaliningrad region,2.0,315.0,2,3,27,333.0,742.6,0.8,75.2,124.2,0.2,0.1,0.3799004936620523,0.5809567779602476,0.23981246573843726,0.33333333232195644,0.6302354325040281,0.7944379829776028,0.6404548138302705,0.0,0.8574705159482701,0.6514859916417806,0.0,0.0,0.527464587323303
2013-01-01,Kaluga region,3.3,325.0,2,4,13,322.0,427.5,0.0,32.2,76.5,0.2,0.2,0.6543656930126801,0.5885686311883193,0.23981246573843726,0.42061983443808937,0.42059313657781955,0.7815491774738613,0.5628300097284186,0.0,0.6891214465112107,0.5834383958405887,0.0,0.0,0.5222446031863497
2013-01-01,Kamchatka Krai,3.9,137.0,10,3,9,428.0,297.7,0.0,1.6,43.5,0.0,0.1,0.7459247889907248,0.37817117372891423,0.7966397674407278,0.33333333232195644,0.3151177162520141,0.8907389817734982,0.5119611783342616,0.0,0.09328707096620252,0.5041674438973452,0.0,0.0,0.4303482919532318
2013-01-01,Karachay-Cherkess Republic,2.1,53.0,2,5,4,112.0,73.0,0.0,0.5,16.3,0.0,0.0,0.40664143407653447,0.1468654122375987,0.23981246573843726,0.4883245054243353,0.08251656986975327,0.37634302002198255,0.3143681608878409,0.0,0.0,0.3663323189622325,0.0,0.0,0.26593088660785413
2013-01-01,Kemerovo region,4.0,685.0,7,9,20,249.0,1706.6,0.1,40.8,521.0,9.4,0.3,0.7598009873241046,0.7701650339257208,0.6732387060615724,0.6666666646439129,0.544155680088059,0.6829007310280354,0.7574256268237709,0.0,0.7361051425811478,0.8528273533603161,0.8899840408690638,0.0,0.7271040101491135
2013-01-01,Kirov region,3.2,493.0,5,3,18,371.0,1209.6,0.0,22.0,148.7,0.0,0.1,0.6375003451527116,0.6900559673147213,0.5568273017022904,0.33333333232195644,0.5139348593128977,0.8359003127152747,0.7090385618636675,0.0,0.6135150427853813,0.676766780228113,0.0,0.0,0.6016292791070641
2013-01-01,Kostroma region,3.5,203.0,4,5,9,307.0,473.2,0.1,3.8,77.5,0.5,0.1,0.6866150271122239,0.4739448630054364,0.4796249314768745,0.4883245054243353,0.3151177162520141,0.7632452868276461,0.5771071321921359,0.0,0.26497314382885867,0.5852620504067257,0.0,0.0,0.49040537697314035
2013-01-01,Krasnodar region,3.3,1760.0,18,15,80,333.0,3508.8,14.8,103.1,515.1,4.6,1.3,0.6543656930126801,0.9999999975644053,0.9999999965402375,0.8216578377462918,0.9417899662098264,0.7944379829776028,0.8587464869122701,0.6521423838634289,0.9201010187141232,0.8512281185765147,0.6061319599225257,0.05103873297699814,0.6477739219362274
