year,region,population,employable_population,employable_population_share
2012, Архангельская область без автономии,1161.8999999999999,266.3,22.9
2013, Архангельская область без автономии,1141.3,270.4,23.7
2014, Архангельская область без автономии,1121.5,274.4,24.5
2015, Архангельская область без автономии,1103.8,279,25.3
2016, Архангельская область без автономии,1085.3,282.99999999999994,26.1
2017, Архангельская область без автономии,1068.3,286,26.8
2018, Архангельская область без автономии,1049.1,287.90000000000003,27.4
2019, Архангельская область без автономии,1030,289.5,28.1
2020, Архангельская область без автономии,1013.9,276.2,27.2
2021, Архангельская область без автономии,995.6999999999999,275.5,27.7
2022, Архангельская область без автономии,974.6,258.3,26.5
2023, Архангельская область без автономии,964.3,259.8,26.9
2012, Ненецкий автономный округ,42.2,6.3,14.9
2013, Ненецкий автономный округ,42.3,6.6,15.6
2014, Ненецкий автономный округ,42.2,6.8,16.1
2015, Ненецкий автономный округ,42.3,7,16.5
2016, Ненецкий автономный округ,42.5,7.3,17.2
2017, Ненецкий автономный округ,42.3,7.6,18
2018, Ненецкий автономный округ,42,7.9,18.8
2019, Ненецкий автономный округ,41.6,8.1,19.5
2020, Ненецкий автономный округ,41.6,7.8,18.8
2021, Ненецкий автономный округ,41.6,8,19.2
2022, Ненецкий автономный округ,41.4,7.5,18.2
2023, Ненецкий автономный округ,41.4,7.8,18.9
2012,Oмская область,1972.3,427.2,21.7
2013,Oмская область,1968.8,437.1,22.2
2014,Oмская область,1966.1,447.3,22.8
2015,Oмская область,1967.8,459.1,23.3
2016,Oмская область,1965.5,471.6,24
2017,Oмская область,1957.1,481.9,24.6
2018,Oмская область,1942,491.8,25.3
2019,Oмская область,1923.6,500.7,26
2020,Oмская область,1903.6,480.6,25.2
2021,Oмская область,1878.1,482.5,25.7
2022,Oмская область,1851.5,454.9,24.6
2023,Oмская область,1832.1,459.8,25.1
2012,Алтайский край,2396.8,562.2,23.5
2013,Алтайский край,2378,571.6,24
2014,Алтайский край,2359.5,581.9,24.7
2015,Алтайский край,2343.4,591.9,25.3
2016,Алтайский край,2325,602.2,25.9
2017,Алтайский край,2303.6,609.6,26.5
2018,Алтайский край,2277.7,615.9,27
2019,Алтайский край,2250.1,619.9,27.5
2020,Алтайский край,2224.1,590.8,26.6
2021,Алтайский край,2193,587.3,26.8
2022,Алтайский край,2155,548.4,25.4
2023,Алтайский край,2130.9,550.9,25.9
2012,Амурская область,820.6,165.2,20.1
