year,region,men,women
2013,Чукотский автономный округ,13.03,21.4
2013,Еврейская автономная область,13.27,23.36
2013,Сахалинская область,14.12,23.35
2013,Пермский край,14.44,24.62
2013,Кировская область,14.57,25.11
2013,Нижегородская область,14.58,24.88
2013,Оренбургская область,15.12,24.75
2013,Пензенская область,14.97,25.65
2013,Самарская область,15.49,25.28
2013,Карачаево-Черкесская Республика,17.39,26.05
2013,Республика Северная Осетия – Алания,17.4,26.71
2013,Чеченская Республика,16.83,24.16
2013,Ставропольский край,16.34,25.61
2013,Республика Башкортостан,15.55,25.31
2013,Республика Марий Эл,14.5,25.07
2013,Республика Мордовия,14.84,25.18
2013,Республика Татарстан,15.99,26.26
2013,Удмуртская Республика,15.15,24.01
2013,Чувашская Республика,15.22,25.68
2013,г.Москва,20.23,27.94
2013,Республика Карелия,14.71,24.53
2013,Республика Коми,14.21,24.38
2013,Архангельская область,14.84,25.21
2013,   Ненецкий автономный округ,13.86,24.54
2013,   Архангельская область без авт. округа,14.88,25.22
2013,Вологодская область,14.36,24.78
2013,Калининградская область,15.21,24.85
2013,Ленинградская область,15.46,25.39
2013,Мурманская область,14.5,24.14
2013,Новгородская область,13.93,24.39
2013,Псковская область,13.56,23.9
2013,г.Санкт-Петербург,17.71,26.6
2013,Республика Адыгея,16.14,25.42
2013,Республика Калмыкия,15.5,25.52
2013,Краснодарский край,16.54,25.57
2013,Брянская область,14.71,25.04
2013,Владимирская область,14.32,24.59
2013,Воронежская область,15.45,25.56
2013,Ивановская область,14.49,24.62
2013,Калужская область,15.39,25.27
2013,Костромская область,14.27,24.21
2013,Курская область,14.82,24.84
2013,Липецкая область,15.04,25.11
2013,Московская область,15.8,25.22
2013,Орловская область,14.49,24.86
2013,Рязанская область,15.24,25.62
2013,Смоленская область,14.37,24.59
2013,Тамбовская область,14.95,25.44
2013,Тверская область,14.21,24.13
2013,Тульская область,14.76,24.81
2013,Ярославская область,14.61,25.15
2013,Белгородская область,15.77,25.47
2013,Астраханская область,15.53,25.28
2013,Волгоградская область,16.03,25.61
2013,Ростовская область,15.93,25.05
2013,Республика Дагестан,19.01,26.56
2013,Республика Ингушетия,21.53,28.03
2013,Саратовская область,15.46,25.08
2013,Ульяновская область,15.14,25.43
2013,Курганская область,14.8,24.88
2013,Тюменская область,15.65,25.51
2013,   Ханты-Мансийский автономный округ – Югра,16.05,25.31
2013,Свердловская область,14.92,25.33
2013,Магаданская область,12.62,23.1
2013,Новосибирская область,15.34,25.22
2013,Oмская область,15.13,24.75
2013,Томская область,15.59,25.05
2013,Республика Бурятия,14.78,23.9
2013,Республика Саха (Якутия),15.5,24.16
2013,Забайкальский край,14.2,23.27
2013,Камчатский край,14.05,23.66
2013,Приморский край,14.76,24.1
2013,Хабаровский край,14.35,24.09
2013,Кемеровская область – Кузбасс,14.74,24.42
2013,Красноярский край,14.84,24.58
2013,Иркутская область,14.33,24.38
2013,Республика Хакасия,14.7,24.04
2013,Республика Тыва,12.99,20.92
2013,Кабардино-Балкарская Республика,17.51,25.72
2013,Алтайский край,15.04,24.88
2013,   Ямало-Ненецкий автономный округ,15.38,24.39
2013,   Тюменская область без авт. округов,15.36,25.66
2013,Челябинская область,15.04,24.93
2013,Республика Алтай,14.14,24.27
2013,Амурская область,13.88,23.39
2014,Карачаево-Черкесская Республика,17.8,26.34
2014,Чеченская Республика,16.68,23.81
2014,Республика Северная Осетия – Алания,17.75,26.58
2014,Республика Башкортостан,15.64,25.43
2014,Республика Марий Эл,14.82,25.47
2014,Республика Мордовия,15,25.81
2014,Республика Татарстан,16.2,26.27
2014,Удмуртская Республика,14.93,25.12
2014,Чувашская Республика,15.55,25.71
2014,Пермский край,14.59,24.74
2014,Ставропольский край,16.74,25.7
2014,Сахалинская область,14.53,23.74
2014,Еврейская автономная область,13.27,23.01
2014,Чукотский автономный округ,12.7,19.96
2014,Самарская область,15.58,25.56
2014,Саратовская область,15.66,25.46
2014,Ульяновская область,15.21,25.42
2014,Курганская область,14.79,25.04
2014,Свердловская область,15.11,25.25
2014,Тюменская область,15.82,25.49
2014,   Ханты-Мансийский автономный округ – Югра,16.26,25.2
2014,   Ямало-Ненецкий автономный округ,16.25,25.14
2014,   Тюменская область без авт. округов,15.41,25.53
2014,Челябинская область,15.18,25.28
2014,Республика Алтай,14.49,24.21
2014,Республика Тыва,12.51,21.03
2014,Республика Хакасия,14.56,24.4
2014,Алтайский край,14.81,24.96
2014,Красноярский край,14.91,24.68
2014,Иркутская область,14.51,24.48
2014,Кабардино-Балкарская Республика,17.66,26.02
2014,Новосибирская область,15.59,25.45
2014,Oмская область,15.18,25.21
2014,Томская область,15.72,25.42
2014,Кемеровская область – Кузбасс,14.82,24.58
2014,Республика Саха (Якутия),15.65,24.67
2014,Забайкальский край,14.39,23.6
2014,Камчатский край,14,23.34
2014,Приморский край,14.93,24.33
2014,Хабаровский край,14.64,24.28
2014,Амурская область,13.9,23.4
2014,Магаданская область,13.96,22.8
2014,Республика Бурятия,15.07,24.57
2014,Республика Карелия,14.59,24.93
2014,г.Москва,20.4,28.13
2014,Ярославская область,14.94,25.39
2014,Тульская область,15.05,25.02
2014,Тверская область,14.22,24.48
2014,Тамбовская область,15.12,25.53
2014,Смоленская область,14.45,24.94
2014,Рязанская область,15.21,25.5
2014,Орловская область,14.64,25.12
2014,Московская область,16.12,25.33
2014,Липецкая область,15.2,25.42
2014,Курская область,14.52,24.83
2014,Костромская область,14.24,24.69
2014,Республика Ингушетия,21.42,28.34
2014,Республика Дагестан,19.07,26.58
2014,Ростовская область,16.01,25.04
2014,Волгоградская область,16.1,25.72
2014,Астраханская область,15.78,24.85
2014,Краснодарский край,16.66,25.58
2014,Республика Калмыкия,15.7,25.43
2014,Республика Адыгея,15.92,25.34
2014,г.Санкт-Петербург,17.94,26.85
2014,Псковская область,13.88,23.97
2014,Новгородская область,14.11,24.58
2014,Мурманская область,14.35,24.43
2014,Ленинградская область,15.79,25.29
2014,Калининградская область,15.46,25.04
2014,Вологодская область,14.36,25.07
2014,   Архангельская область без авт. округа,15.04,25.32
2014,Пензенская область,15.22,25.73
2014,Оренбургская область,14.93,24.77
2014,Нижегородская область,14.57,25.04
2014,Кировская область,14.77,25.37
2014,Воронежская область,15.69,25.63
2014,Брянская область,14.83,25.27
2014,Белгородская область,16,25.59
2014,   Ненецкий автономный округ,15.01,24.65
2014,Архангельская область,15.05,25.31
2014,Ивановская область,14.21,24.79
2014,Республика Коми,14.08,24.41
2014,Калужская область,15.26,25.71
2014,Владимирская область,14.51,24.94
2015,Республика Алтай,14.49,24.37
2015,Челябинская область,15.43,25.35
2015,   Тюменская область без авт. округов,15.57,25.65
2015,   Ямало-Ненецкий автономный округ,15.66,24.39
